record_id,step_0,step_1,step_2,step_3
1857,778.0,136,150,1152.0
1140,779.0,4078,4551,1764.0
1456,780.0,1723,103,404.0
2576,781.0,510,2888,805.0
1940,782.0,294,2478,818.0
1646,783.0,1828,746,1211.0
248,784.0,723,3168,1431.0
342,785.0,584,340,2823.0
1451,786.0,1385,1,2795.0
2315,787.0,617,2967,200.0
1512,788.0,1252,4057,1400.0
1401,789.0,160,1417,1937.0
2271,790.0,2081,3868,874.0
959,791.0,2823,1400,137.0
2301,792.0,862,4815,2327.0
306,793.0,147,1093,1947.0
2237,794.0,2987,2876,1980.0
2134,795.0,1728,3578,1308.0
1464,796.0,1303,3729,2007.0
1090,797.0,4739,548,2802.0
1218,798.0,2648,4454,1179.0
104,799.0,1504,2331,393.0
1357,800.0,4275,4368,296.0
1507,801.0,4101,2273,958.0
2082,802.0,3223,3162,877.0
1387,803.0,1128,1926,817.0
2476,804.0,696,1474,916.0
1176,805.0,3671,1718,81.0
652,806.0,1644,996,1488.0
1231,807.0,2739,911,1088.0
1079,808.0,3345,301,2013.0
1067,809.0,2491,164,140.0
657,810.0,2555,4594,952.0
3,811.0,993,2075,398.0
1147,812.0,3859,2984,1749.0
622,813.0,273,366,1419.0
1921,814.0,1492,1488,758.0
2466,815.0,238,377,185.0
2246,816.0,2749,1590,1498.0
1853,817.0,2036,59,688.0
2305,818.0,1899,1982,1343.0
2046,819.0,3481,3891,123.0
2210,820.0,2093,4228,724.0
131,821.0,2800,3086,2317.0
308,822.0,4047,1860,790.0
1591,823.0,2456,4505,944.0
